match_id,date,season,venue,winner,win_by,match_type,player_of_match,umpire_1,umpire_2
1075986,2017-02-09,2017,Dubai International Cricket Stadium,Islamabad United,wickets 7,regular,BJ Haddin,Ahsan Raza,Shozab Raza
1075987,2017-02-10,2017,Dubai International Cricket Stadium,Quetta Gladiators,runs 8,regular,Hassan Khan,Rashid Riaz,Shozab Raza
1075988,2017-02-10,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 7,regular,EJG Morgan,Ahmed Shahab,Ahsan Raza
1075989,2017-02-11,2017,Dubai International Cricket Stadium,Lahore Qalandars,wickets 6,regular,JJ Roy,Asif Yaqoob,Shozab Raza
1075990,2017-02-11,2017,Dubai International Cricket Stadium,Quetta Gladiators,wickets 7,regular,RR Rossouw,Aleem Dar,Rashid Riaz
1075991,2017-02-12,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 3,regular,Yasir Shah,Aleem Dar,RK Illingworth
1075992,2017-02-15,2017,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,SW Billings,Aleem Dar,RK Illingworth
1075993,2017-02-16,2017,Sharjah Cricket Stadium,Lahore Qalandars,runs 7,regular,Fakhar Zaman,Aleem Dar,RK Illingworth
1075994,2017-02-17,2017,Sharjah Cricket Stadium,No result,no result,regular,,Ahsan Raza,Asif Yaqoob
1075995,2017-02-17,2017,Sharjah Cricket Stadium,Karachi Kings,runs 8,regular,Babar Azam,Aleem Dar,RK Illingworth
1075996,2017-02-18,2017,Sharjah Cricket Stadium,Quetta Gladiators,wickets 5,regular,KP Pietersen,Rashid Riaz,Shozab Raza
1075997,2017-02-18,2017,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,Mohammad Sami,Aleem Dar,RK Illingworth
1075998,2017-02-19,2017,Sharjah Cricket Stadium,Karachi Kings,runs 9,regular,Shoaib Malik,Ahmed Shahab,Aleem Dar
1075999,2017-02-20,2017,Sharjah Cricket Stadium,Lahore Qalandars,wickets 1,regular,Umar Akmal,Ahmed Shahab,Ahsan Raza
1076000,2017-02-23,2017,Dubai International Cricket Stadium,Quetta Gladiators,wickets 6,regular,Mahmudullah,Aleem Dar,REJ Martinesz
1076001,2017-02-24,2017,Dubai International Cricket Stadium,Peshawar Zalmi,runs 17,regular,Shakib Al Hasan,REJ Martinesz,Shozab Raza
1076002,2017-02-24,2017,Dubai International Cricket Stadium,Islamabad United,runs 1,regular,Mohammad Sami,Ahsan Raza,Aleem Dar
1076003,2017-02-25,2017,Dubai International Cricket Stadium,Karachi Kings,wickets 5,regular,KA Pollard,REJ Martinesz,Shozab Raza
1076004,2017-02-25,2017,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 2,regular,Mohammad Asghar,Ahmed Shahab,Ahsan Raza
1076005,2017-02-26,2017,Dubai International Cricket Stadium,Karachi Kings,wickets 6,regular,CH Gayle,Aleem Dar,REJ Martinesz
1076006,2017-02-28,2017,Sharjah Cricket Stadium,Quetta Gladiators,runs 1,qualifier,Ahmed Shehzad,REJ Martinesz,Shozab Raza
1076007,2017-03-01,2017,Sharjah Cricket Stadium,Karachi Kings,runs 44,qualifier,Imad Wasim,REJ Martinesz,Shozab Raza
1076008,2017-03-03,2017,Dubai International Cricket Stadium,Peshawar Zalmi,runs 24,qualifier,Kamran Akmal,Ahsan Raza,REJ Martinesz
1076009,2017-03-05,2017,Gaddafi Stadium,Peshawar Zalmi,runs 58,final,DJG Sammy,Ahsan Raza,REJ Martinesz
1128818,2018-02-22,2018,Dubai International Cricket Stadium,Multan Sultans,wickets 7,regular,KC Sangakkara,Ahmed Shahab,RT Robinson
1128819,2018-02-23,2018,Dubai International Cricket Stadium,Karachi Kings,runs 19,regular,CA Ingram,REJ Martinesz,Rashid Riaz
1128820,2018-02-23,2018,Dubai International Cricket Stadium,Multan Sultans,runs 43,regular,Imran Tahir,Asif Yaqoob,RT Robinson
1128821,2018-02-24,2018,Dubai International Cricket Stadium,Peshawar Zalmi,runs 34,regular,Umaid Asif,REJ Martinesz,Rashid Riaz
1128822,2018-02-24,2018,Dubai International Cricket Stadium,Quetta Gladiators,wickets 9,regular,Mohammad Nawaz (3),Asif Yaqoob,RT Robinson
1128823,2018-02-25,2018,Dubai International Cricket Stadium,Islamabad United,wickets 5,regular,Hussain Talat,REJ Martinesz,Rashid Riaz
1128824,2018-02-25,2018,Dubai International Cricket Stadium,Karachi Kings,wickets 5,regular,DR Smith,REJ Martinesz,RT Robinson
